NOMBRE,CARTEGORIA,FECHA
Conoce la programación de los Talleres de Artes Verano 2017 del Ministerio de Cultura,Talleres y especialización,"Enero 54, 2017"
"“X Foro Internacional de Animación” en el Cairo, Egipto del 16 al 23 de febrero","Formación, Oportunidades y recursos, Talleres y especialización","Diciembre 58, 2016"
“IV ENCUENTRO INTERNACIONAL DE IMPROVISACIÓN POR CONTACTO AYNI – COOPERACIÓN Y RECIPROCIDAD” DEL 28 DE DICIEMBRE AL 06 DE ENERO – INSCRIPCIONES ABIERTAS,"Formación, Oportunidades y recursos, Talleres y especialización","Diciembre 44, 2016"
Difunden en Perú innovador método ruso de apreciación musical en niños: Mundo Mozart Perú.,"Formación, Talleres y especialización","Diciembre 40, 2016"
Segundo Taller Regional Cuentas Satélite de Cultura,"Estadísticas, Talleres y especialización","Diciembre 23, 2016"
Charla Creativa : “Ilustración 360 con Mr. Tronch” el viernes 02 de diciembre,"Formación, Talleres y especialización","Noviembre 04, 2016"
Taller: “Electrónica en el arte y la interactividad”,"Oportunidades y recursos, Talleres y especialización","Noviembre 55, 2016"
PROGRAMA DE ARTES ESCÉNICAS EN LA ESCUELA – PASEE 2016. Sábado 26 de noviembre en el Colegio Melitón Carvajal (LINCE),"Formación, Talleres y especialización","Noviembre 22, 2016"
[Taller] Experimentar el Estado de Payaso – Asociación Cultural Hamuy Teatro,"Formación, Oportunidades y recursos, Talleres y especialización","Noviembre 14, 2016"
[CONVOCATORIA] XII Encuentro Internacional de Productores: Taller de formación de productores cinematográficos,"Oportunidades y recursos, Talleres y especialización","Noviembre 59, 2016"
"V Encuentro de artistas, artesanos y diseñadores: Integrando experiencias ante los nuevos escenarios","Oportunidades y recursos, Talleres y especialización","Octubre 40, 2016"
[Festival] Tercer festival de la palabra PUCP del 19 al 23 de octubre.,"Centros culturales, Festivales, Oportunidades y recursos, Talleres y especialización","Septiembre 28, 2016"
Conecta 2016: “ESPACIO IDEA” convoca emprendedores culturales. Inscripciones hasta el 25 de setiembre,"Formación, Talleres y especialización","Septiembre 10, 2016"
"[SEMINARIO] Literatura, pintura y arquitectura en el discurso cultural en el Perú",Talleres y especialización,"Septiembre 40, 2016"
CONECTA: CULTURA Y EMPRENDIMIENTO. ENCUENTRO CONECTA 2016,"Conferencias y ponencias, Formación, Talleres y especialización","Septiembre 05, 2016"
[Taller] Formación actoral y pedagogía teatral por Débora Astrosky,"Oportunidades y recursos, Talleres y especialización","Septiembre 55, 2016"
Educación de la voz. Centro Cultural UDEP,"Formación, Talleres y especialización","Septiembre 50, 2016"
¿Qué es el ser humano? Un curso de Antropología. Centro Cultural UDEP,"Formación, Talleres y especialización","Septiembre 30, 2016"
